img_name,label
train_041076.jpg,0
train_041077.jpg,0
train_041078.jpg,0
train_041079.jpg,0
train_041080.jpg,0
train_041081.jpg,0
train_041082.jpg,0
train_041083.jpg,0
train_041084.jpg,0
train_041085.jpg,0
train_024843.jpg,1
train_024844.jpg,1
train_024845.jpg,1
train_024846.jpg,1
train_024847.jpg,1
train_024848.jpg,1
train_024849.jpg,1
train_024850.jpg,1
train_024851.jpg,1
train_024852.jpg,1
train_040196.jpg,2
train_040197.jpg,2
train_040198.jpg,2
train_040199.jpg,2
train_040200.jpg,2
train_040201.jpg,2
train_040202.jpg,2
train_040203.jpg,2
train_040204.jpg,2
train_040205.jpg,2
train_059530.jpg,3
train_059531.jpg,3
train_059532.jpg,3
train_059533.jpg,3
train_059534.jpg,3
train_059535.jpg,3
train_059536.jpg,3
train_059537.jpg,3
train_059538.jpg,3
train_059539.jpg,3
train_070049.jpg,4
train_070050.jpg,4
train_070051.jpg,4
train_070052.jpg,4
train_070053.jpg,4
train_070054.jpg,4
train_070055.jpg,4
train_070056.jpg,4
train_070057.jpg,4
train_070058.jpg,4
